"","PC1","PC2","PC3","Symbol"
"ENSBTAG00000005005",0.229164578317776,0.0117383400904758,-0.0202483039159951,"CSN1S2"
"ENSBTAG00000013417",0.202078789296208,0.00431430837175615,-0.00807471786784725,"GLYCAM1"
"ENSBTAG00000005859",0.202640669901165,-0.0234567300313916,-0.0512895294445205,"LALBA"
"ENSBTAG00000007695",0.181934741806183,0.0473815921769105,-0.076381544239715,"CSN1S1"
"ENSBTAG00000002632",0.169958159734053,0.042057163729737,-0.0676304220064384,"CSN2"
"ENSBTAG00000014678",0.149802729393406,0.0807015904937146,-0.0903464549942627,"PAEP"
"ENSBTAG00000021565",-0.0316981109674988,-0.185952148990352,-0.162078439226221,"PRSS2"
"ENSBTAG00000048250",0.149190079687141,-0.0394638919709178,-0.0504787174836658,"HSTN"
"ENSBTAG00000012780",0.129727462816038,-0.0543408616971723,0.0502919109408788,"LPO"
"ENSBTAG00000009656",0.0144029439686899,-0.0945788928440186,-0.136569360153973,"BOLA-DQA2"
"ENSBTAG00000016819",0.125759203124828,-0.00595476652011109,0.00927236331762488,"FABP3"
"ENSBTAG00000027126",0.119656430590015,-0.00418505401246171,-0.0532666139871856,"MUC15"
"ENSBTAG00000031753",0.104461620064509,0.0646309501814711,-0.0577166695524178,"BTN1A1"
"ENSBTAG00000006263",0.105028919745881,-0.0296213400105674,-0.00345125517653846,"GP2"
"ENSBTAG00000012918",0.103248446175441,-0.0432412824638695,0.0283147393484453,"CRISP3"
"ENSBTAG00000054586",-0.00555544229063834,-0.164094137239509,-0.0470691225483425,"LOC112444971"
"ENSBTAG00000049191",-0.0199395924562486,-0.121732629214124,-0.0516875687544085,"LOC112443690"
"ENSBTAG00000046547",0.101863517096342,-0.0277522794497242,0.0160128351229596,"CIDEA"
"ENSBTAG00000017104",0.0987178933431376,0.000546926403135143,0.0217103459449894,"MUC1"
"ENSBTAG00000039787",0.0978544574487523,0.0112592081851832,0.0207210977301407,"CSN3"
"ENSBTAG00000012855",0.0939719660496542,-0.0432990306902711,-0.0351540419940232,"LPL"
"ENSBTAG00000007080",0.000622936489446216,-0.115023452551416,-0.00608531180715358,"PREB"
"ENSBTAG00000049572",0.0641431243604912,-0.0637776304256898,0.147179542911051,"LOC616478"
"ENSBTAG00000011402",0.0919262768574394,-0.0418159410644031,-0.0392114488012137,"LOC516849"
"ENSBTAG00000017561",0.0863124280682605,0.0618569527111248,-0.038819891530269,"HHIPL2"
"ENSBTAG00000002097",0.0916721874474616,-0.0324738199004067,-0.0340461854535873,"TMC5"
"ENSBTAG00000008793",0.0919148042566752,0.000697143893920378,-0.00865195951773702,"RNASE1"
"ENSBTAG00000013929",0.0883006364473213,-0.0220348975691153,0.0245120901642103,"RRAD"
"ENSBTAG00000011990",0.0867904822670556,-0.0288791212485879,-0.0268028222807615,"ALOX15"
"ENSBTAG00000046084",-0.000605080925195238,0.00940034791975415,0.0612097330116325,"MGC151921"
"ENSBTAG00000014149",0.0182948440515105,-0.0610017555837308,0.194470987653635,"LCN2"
"ENSBTAG00000017704",0.0835993756287966,-0.0201028521567006,-0.042506179604532,"ABCG2"
"ENSBTAG00000051641",0.000541785942648726,-0.0914943175505279,0.0283894056342094,"MUCL1"
"ENSBTAG00000016305",0.0830398095288745,0.00125744580027194,-0.034562469593885,"ATP13A4"
"ENSBTAG00000021007",0.0759152095299197,0.0370869997883239,-0.0250774508948765,"FOLR1"
"ENSBTAG00000054069",-0.0678377834307101,-0.0532020207953306,-0.00536212398430574,"CRNN"
"ENSBTAG00000000309",-0.0240261567518451,-0.0246944954085146,0.00557103355938831,"PTPRT"
"ENSBTAG00000010932",0.0726515560968915,-0.0565477819081855,-0.0295256454118613,"DNAJC12"
"ENSBTAG00000012794",0.0769259223148756,0.0299600094533594,-0.0521620793246411,"PAH"
"ENSBTAG00000004789",-0.0509382075756729,0.0935453459509638,0.00424960840239591,"LGR6"
"ENSBTAG00000037605",-0.000897482029357881,0.00139426585950952,0.197557517581036,"LOC100848815"
"ENSBTAG00000035926",0.00133980987212504,-0.0630953959335597,-0.0488597374506586,NA
"ENSBTAG00000055240",0.0457309266867066,0.0245915011594035,0.18124272424203,"IGHG1"
"ENSBTAG00000052382",0.0631685171180842,-0.0729181601941592,-0.00496130655602623,"H2BC20"
"ENSBTAG00000038532",0.0756506405395615,0.00457919294788559,0.00656429694495543,"FOLR3"
"ENSBTAG00000019716",0.0585185914517473,-0.0746796087755285,0.000193415550729776,"CXCL8"
"ENSBTAG00000011917",0.0673598040417992,-0.0425186702947233,-0.0578151417061388,"GPAM"
"ENSBTAG00000005675",-0.0600114900974112,-0.0576326151993007,-0.0249523824420981,"SLC44A4"
"ENSBTAG00000047700",0.0510689587578019,0.00313787282428221,0.094724120767368,NA
"ENSBTAG00000006689",0.0715801162837384,-0.0270485807913648,-0.0366784710393256,"TECTB"
"ENSBTAG00000006810",0.0679799768658582,-0.041334932846727,0.022178470515017,"ODAM"
"ENSBTAG00000016820",-0.033555547451951,-0.0772228100268188,-0.0327856772000439,"BDA20"
"ENSBTAG00000038361",-0.0388739214227789,0.0877213857409388,-0.00140377204450439,"SERPINA11"
"ENSBTAG00000016127",0.0329712373962043,0.0827940041153322,-0.0386268399906587,"SPINT3"
"ENSBTAG00000055207",0.0675857250369895,0.00768327924023324,-0.0151189477690887,"SCD"
"ENSBTAG00000027513",0.0448357807564903,-0.0640101344597804,0.00279263640415411,"CXCL2"
"ENSBTAG00000045737",-0.0249796027989071,-0.0960381082651845,0.0482335917155236,"LOC785756"
"ENSBTAG00000021276",0.0581317734856637,0.0290854268451233,-0.00970951317739937,"TFF3"
"ENSBTAG00000016864",0.0519956441560177,-0.0426419198455591,0.0838381415145281,"LBP"
"ENSBTAG00000000945",0.0693221132397078,0.01199732358096,0.00902372060346389,"ATP2C2"
"ENSBTAG00000009602",0.0685187969341086,0.0152542891613963,-0.0328038753115834,"TMEM120B"
"ENSBTAG00000004547",0.0614237401439992,-0.0344207433076503,-0.0135537146266128,"OLR1"
"ENSBTAG00000015727",0.0224307151222546,0.00539154696992382,0.137349536018035,"IFI47"
"ENSBTAG00000037526",0.0635699813116366,0.0108188025442817,0.00164541542255398,"FABP4"
"ENSBTAG00000040460",-0.0377454418819313,-0.0794188336843837,0.0675636695844601,"KRT23"
"ENSBTAG00000015402",-0.0608657023120916,-0.0294235828882826,-0.0177772392083993,"GREB1"
"ENSBTAG00000032288",0.0589962495421409,0.0483742728557215,-0.020081405959327,"GCK"
"ENSBTAG00000002786",0.0224435607366095,0.00667589935738853,0.0362827812682383,"LOC781494"
"ENSBTAG00000006355",0.0634005459113908,0.0112597845774321,-0.0243251419364873,"SLC30A2"
"ENSBTAG00000009145",0.0639983607740375,0.00496877564151563,-0.00372267325875896,"SLC7A4"
"ENSBTAG00000008832",0.0562334293423425,0.00279881419980711,0.0178757374072939,"CCL1"
"ENSBTAG00000049929",-0.0426464122127872,-0.0363249361160719,0.0654331129480881,"LOC781146"
"ENSBTAG00000013027",-0.0338793306638369,-0.0769505268311402,0.0143594893578176,"CCK"
"ENSBTAG00000038128",0.0102761072078414,-0.0179765294115575,-0.130323886645405,"BOLA-DQA5"
"ENSBTAG00000013303",0.0619494365302388,0.000309406095916567,0.0102602549155905,"ACSS2"
"ENSBTAG00000022564",-0.0072305103182847,-0.106385190623378,-0.0255203811888141,"AKR1C4"
"ENSBTAG00000012393",0.0299492262348994,0.0358517255989222,0.0381253769956126,"AGT"
"ENSBTAG00000015059",-0.00471656323244411,-0.0843319997036361,0.048478190774378,"MMP13"
"ENSBTAG00000002779",-0.0555960064526295,0.00864066046354521,-0.0427305503317817,"GABRP"
"ENSBTAG00000011671",0.0533785425678909,-0.0542343072256829,-0.0113127373907582,NA
"ENSBTAG00000012628",0.0509959229358243,0.0369390391521387,-0.0693605929722082,"SLC1A2"
"ENSBTAG00000038476",0.0364731137300372,-0.0447700859050374,-0.0128659555475912,NA
"ENSBTAG00000002669",0.062587370248243,0.0185855074555623,-0.013231917767116,"RASSF4"
"ENSBTAG00000034372",0.046787443758869,0.00398151017615397,0.0771483023367223,"LOC104975830"
"ENSBTAG00000050723",0.0352918383169597,0.0218834925178767,0.126886896931408,NA
"ENSBTAG00000003408",0.0451625346723408,0.00477452806586208,0.125312479589724,NA
