"Var1","Var2","Freq"
"SSIS","Length","1898"
"SSSS","Length","9035"
"SSDS","Length","1494"
"DSSS","Length","1660"
"SSSI","Length"," 102"
"ISIS","Length"," 221"
"ISSS","Length"," 837"
"ISSD","Length"," 483"
"ISDS","Length"," 214"
"SSDI","Length","  29"
"DSIS","Length"," 437"
"DSDS","Length"," 211"
"DSSI","Length"," 280"
"ISID","Length","  57"
"SSSD","Length"," 146"
"DSDI","Length","  36"
"ISDD","Length","  78"
"SDIS","Length","   5"
"DSSD","Length","   3"
"SSID","Length","  54"
"SSII","Length","  17"
"DIIS","Length","   1"
"SSDD","Length","  14"
"DIDS","Length","   2"
"DSII","Length","  21"
"IDID","Length","   1"
"ISSI","Length","   1"
"DDIS","Length","   1"
"SDSS","Length","   1"
"DIDI","Length","   2"
"DSDD","Length","   1"
"SIDS","Length","   1"
"DSID","Length","   1"
"SSIS","Class","-none-"
"SSSS","Class","-none-"
"SSDS","Class","-none-"
"DSSS","Class","-none-"
"SSSI","Class","-none-"
"ISIS","Class","-none-"
"ISSS","Class","-none-"
"ISSD","Class","-none-"
"ISDS","Class","-none-"
"SSDI","Class","-none-"
"DSIS","Class","-none-"
"DSDS","Class","-none-"
"DSSI","Class","-none-"
"ISID","Class","-none-"
"SSSD","Class","-none-"
"DSDI","Class","-none-"
"ISDD","Class","-none-"
"SDIS","Class","-none-"
"DSSD","Class","-none-"
"SSID","Class","-none-"
"SSII","Class","-none-"
"DIIS","Class","-none-"
"SSDD","Class","-none-"
"DIDS","Class","-none-"
"DSII","Class","-none-"
"IDID","Class","-none-"
"ISSI","Class","-none-"
"DDIS","Class","-none-"
"SDSS","Class","-none-"
"DIDI","Class","-none-"
"DSDD","Class","-none-"
"SIDS","Class","-none-"
"DSID","Class","-none-"
"SSIS","Mode","character"
"SSSS","Mode","character"
"SSDS","Mode","character"
"DSSS","Mode","character"
"SSSI","Mode","character"
"ISIS","Mode","character"
"ISSS","Mode","character"
"ISSD","Mode","character"
"ISDS","Mode","character"
"SSDI","Mode","character"
"DSIS","Mode","character"
"DSDS","Mode","character"
"DSSI","Mode","character"
"ISID","Mode","character"
"SSSD","Mode","character"
"DSDI","Mode","character"
"ISDD","Mode","character"
"SDIS","Mode","character"
"DSSD","Mode","character"
"SSID","Mode","character"
"SSII","Mode","character"
"DIIS","Mode","character"
"SSDD","Mode","character"
"DIDS","Mode","character"
"DSII","Mode","character"
"IDID","Mode","character"
"ISSI","Mode","character"
"DDIS","Mode","character"
"SDSS","Mode","character"
"DIDI","Mode","character"
"DSDD","Mode","character"
"SIDS","Mode","character"
"DSID","Mode","character"
